time,step,trainLoss
2022-05-11 11:34:10.489650,Step[5],0.294007
2022-05-11 11:34:10.785824,Step[6],0.294007
2022-05-11 11:34:11.268539,Step[7],0.294007
2022-05-11 11:34:11.600653,Step[8],0.294007
2022-05-11 11:34:11.872927,Step[9],0.294007
2022-05-11 11:34:12.349693,Step[10],0.294007
2022-05-11 11:34:12.681774,Step[11],0.294007
2022-05-11 11:34:12.963024,Step[12],0.294007
2022-05-11 11:34:13.332044,Step[13],0.294007
2022-05-11 11:34:13.672135,Step[14],0.294007
2022-05-11 11:34:13.988293,Step[15],0.294007
2022-05-11 11:34:14.249631,Step[16],0.294007
2022-05-11 11:34:14.674465,Step[17],0.294007
2022-05-11 11:34:15.024531,Step[18],0.294007
2022-05-11 11:34:15.317751,Step[19],0.294007
2022-05-11 11:34:15.915192,Step[0],0.220316
2022-05-11 11:34:16.243286,Step[1],0.220316
2022-05-11 11:34:16.518586,Step[2],0.220316
2022-05-11 11:34:16.913500,Step[3],0.220316
2022-05-11 11:34:17.231653,Step[4],0.220316
2022-05-11 11:34:17.527863,Step[5],0.220316
2022-05-11 11:34:17.804127,Step[6],0.220316
2022-05-11 11:34:18.234980,Step[7],0.220316
2022-05-11 11:34:18.576072,Step[8],0.220316
2022-05-11 11:34:18.862341,Step[9],0.220316
2022-05-11 11:34:19.233320,Step[10],0.220316
2022-05-11 11:34:19.609318,Step[11],0.220316
2022-05-11 11:34:19.900542,Step[12],0.220316
2022-05-11 11:34:20.160884,Step[13],0.220316
2022-05-11 11:34:20.598682,Step[14],0.220316
2022-05-11 11:34:20.937779,Step[15],0.220316
2022-05-11 11:34:21.221023,Step[16],0.220316
2022-05-11 11:34:21.679802,Step[17],0.220316
2022-05-11 11:34:22.014908,Step[18],0.220316
2022-05-11 11:34:22.301179,Step[19],0.220316
2022-05-11 11:34:22.875616,Step[0],0.220316
2022-05-11 11:34:23.212717,Step[1],0.220316
2022-05-11 11:34:23.499985,Step[2],0.220316
2022-05-11 11:34:23.767240,Step[3],0.220316
2022-05-11 11:34:24.180142,Step[4],0.220316
2022-05-11 11:34:24.502317,Step[5],0.220316
